Fecha;Sensor;Lectura;Unidades de Lectura;Medida;Unidades de Medida;Flag;Flag Manipulación;Observaciones
07/11/2011 08:00:00;E012LLUVIAS;0,50;l/m²;0,50;l/m²;M;NC;
07/11/2011 08:00:00;E012NEMBA;710,98;m.s.n.m.;710,98;m.s.n.m.;M;NC;
07/11/2011 08:00:00;E012TEMPMED;10,50;ºC;10,50;ºC;M;NC;
08/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
08/11/2011 08:00:00;E012NEMBA;710,99;m.s.n.m.;710,99;m.s.n.m.;M;NC;
08/11/2011 08:00:00;E012TEMPMED;11,70;ºC;11,70;ºC;M;NC;
09/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
09/11/2011 08:00:00;E012NEMBA;710,99;m.s.n.m.;710,99;m.s.n.m.;M;NC;
09/11/2011 08:00:00;E012TEMPMED;12,20;ºC;12,20;ºC;M;NC;
10/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
10/11/2011 08:00:00;E012NEMBA;710,99;m.s.n.m.;710,99;m.s.n.m.;M;NC;
10/11/2011 08:00:00;E012TEMPMED;12,10;ºC;12,10;ºC;M;NC;
11/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
11/11/2011 08:00:00;E012NEMBA;710,99;m.s.n.m.;710,99;m.s.n.m.;M;NC;
11/11/2011 08:00:00;E012TEMPMED;12,90;ºC;12,90;ºC;M;NC;
12/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
12/11/2011 08:00:00;E012NEMBA;710,99;m.s.n.m.;710,99;m.s.n.m.;M;NC;
12/11/2011 08:00:00;E012TEMPMED;14,50;ºC;14,50;ºC;M;NC;
13/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
13/11/2011 08:00:00;E012NEMBA;710,99;m.s.n.m.;710,99;m.s.n.m.;M;NC;
13/11/2011 08:00:00;E012TEMPMED;14,70;ºC;14,70;ºC;M;NC;
14/11/2011 08:00:00;E012LLUVIAS;5,40;l/m²;5,40;l/m²;M;NC;
14/11/2011 08:00:00;E012NEMBA;710,98;m.s.n.m.;710,98;m.s.n.m.;M;NC;
14/11/2011 08:00:00;E012TEMPMED;13,10;ºC;13,10;ºC;M;NC;
15/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
15/11/2011 08:00:00;E012NEMBA;710,98;m.s.n.m.;710,98;m.s.n.m.;M;NC;
15/11/2011 08:00:00;E012TEMPMED;11,00;ºC;11,00;ºC;M;NC;
16/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
16/11/2011 08:00:00;E012NEMBA;710,97;m.s.n.m.;710,97;m.s.n.m.;M;NC;
16/11/2011 08:00:00;E012TEMPMED;10,20;ºC;10,20;ºC;M;NC;
17/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
17/11/2011 08:00:00;E012NEMBA;710,96;m.s.n.m.;710,96;m.s.n.m.;M;NC;
17/11/2011 08:00:00;E012TEMPMED;8,70;ºC;8,70;ºC;M;NC;
18/11/2011 08:00:00;E012LLUVIAS;1,50;l/m²;1,50;l/m²;M;NC;
18/11/2011 08:00:00;E012NEMBA;710,95;m.s.n.m.;710,95;m.s.n.m.;M;NC;
18/11/2011 08:00:00;E012TEMPMED;10,50;ºC;10,50;ºC;M;NC;
19/11/2011 08:00:00;E012LLUVIAS;5,50;l/m²;5,50;l/m²;M;NC;
19/11/2011 08:00:00;E012NEMBA;710,94;m.s.n.m.;710,94;m.s.n.m.;M;NC;
19/11/2011 08:00:00;E012TEMPMED;11,40;ºC;11,40;ºC;M;NC;
20/11/2011 08:00:00;E012LLUVIAS;8,80;l/m²;8,80;l/m²;M;NC;
20/11/2011 08:00:00;E012NEMBA;710,94;m.s.n.m.;710,94;m.s.n.m.;M;NC;
20/11/2011 08:00:00;E012TEMPMED;11,30;ºC;11,30;ºC;M;NC;
21/11/2011 08:00:00;E012LLUVIAS;0,50;l/m²;0,50;l/m²;M;NC;
21/11/2011 08:00:00;E012NEMBA;710,92;m.s.n.m.;710,92;m.s.n.m.;M;NC;
21/11/2011 08:00:00;E012TEMPMED;10,70;ºC;10,70;ºC;M;NC;
22/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
22/11/2011 08:00:00;E012NEMBA;710,91;m.s.n.m.;710,91;m.s.n.m.;M;NC;
22/11/2011 08:00:00;E012TEMPMED;10,80;ºC;10,80;ºC;M;NC;
23/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
23/11/2011 08:00:00;E012NEMBA;710,90;m.s.n.m.;710,90;m.s.n.m.;M;NC;
23/11/2011 08:00:00;E012TEMPMED;9,50;ºC;9,50;ºC;M;NC;
24/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
24/11/2011 08:00:00;E012NEMBA;710,89;m.s.n.m.;710,89;m.s.n.m.;M;NC;
24/11/2011 08:00:00;E012TEMPMED;8,90;ºC;8,90;ºC;M;NC;
25/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
25/11/2011 08:00:00;E012NEMBA;710,87;m.s.n.m.;710,87;m.s.n.m.;M;NC;
25/11/2011 08:00:00;E012TEMPMED;9,20;ºC;9,20;ºC;M;NC;
26/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
26/11/2011 08:00:00;E012NEMBA;710,86;m.s.n.m.;710,86;m.s.n.m.;M;NC;
26/11/2011 08:00:00;E012TEMPMED;8,50;ºC;8,50;ºC;M;NC;
27/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
27/11/2011 08:00:00;E012NEMBA;710,85;m.s.n.m.;710,85;m.s.n.m.;M;NC;
27/11/2011 08:00:00;E012TEMPMED;7,20;ºC;7,20;ºC;M;NC;
